item_id,order_id,sku,quantity,unit_price
1,1000,SKU_055,3,441.04
2,1000,SKU_165,3,163.03
3,1000,SKU_173,1,253.17
4,1000,SKU_124,1,213.67
5,1001,SKU_190,2,224.03
6,1002,SKU_160,2,96.68
7,1002,SKU_151,3,376.22
8,1002,SKU_129,2,491.6
9,1002,SKU_031,1,84.96
10,1003,SKU_057,1,28.01
11,1003,SKU_123,2,88.65
12,1003,SKU_077,1,249.46
13,1003,SKU_181,2,493.62
14,1003,SKU_199,1,65.75
15,1004,SKU_121,3,361.17
16,1005,SKU_060,1,254.24
17,1005,SKU_114,2,483.0
18,1006,SKU_115,3,252.87
19,1006,SKU_064,2,196.56
20,1006,SKU_069,3,182.28
21,1007,SKU_124,1,213.67
22,1007,SKU_091,2,118.04
23,1008,SKU_011,1,29.16
24,1008,SKU_049,3,459.52
25,1008,SKU_024,1,35.04
26,1008,SKU_075,1,311.72
27,1009,SKU_018,3,251.45
28,1010,SKU_042,1,231.31
29,1010,SKU_032,2,451.66
30,1010,SKU_054,3,354.15
31,1011,SKU_137,3,331.8
32,1011,SKU_110,3,119.89
33,1011,SKU_042,1,231.31
34,1011,SKU_129,3,491.6
35,1012,SKU_054,2,354.15
36,1012,SKU_140,2,248.76
37,1012,SKU_086,3,141.61
38,1012,SKU_053,3,253.54
39,1013,SKU_097,1,22.19
40,1014,SKU_099,2,314.45
41,1014,SKU_156,3,387.06
42,1014,SKU_093,3,90.16
43,1014,SKU_176,3,399.62
44,1014,SKU_074,3,233.69
45,1015,SKU_200,2,417.68
46,1016,SKU_187,1,400.29
47,1016,SKU_129,1,491.6
48,1016,SKU_072,2,74.12
49,1017,SKU_070,3,198.31
50,1017,SKU_143,3,125.66
51,1018,SKU_138,1,158.06
52,1018,SKU_039,1,211.12
53,1018,SKU_105,2,377.61
54,1018,SKU_155,2,250.45
55,1019,SKU_164,1,142.04
56,1019,SKU_100,2,100.39
57,1020,SKU_083,3,214.32
58,1020,SKU_166,1,89.92
59,1020,SKU_198,1,433.49
60,1021,SKU_133,3,331.2
61,1021,SKU_084,1,437.56
62,1021,SKU_163,1,74.62
63,1021,SKU_068,3,459.96
64,1022,SKU_008,1,233.04
65,1023,SKU_111,2,106.68
66,1024,SKU_065,2,13.75
67,1024,SKU_039,3,211.12
68,1024,SKU_043,2,293.71
69,1025,SKU_022,3,24.57
70,1025,SKU_193,3,204.91
71,1026,SKU_166,1,89.92
72,1026,SKU_145,2,38.48
73,1026,SKU_025,1,75.07
74,1027,SKU_048,3,190.09
75,1028,SKU_200,2,417.68
76,1028,SKU_058,2,117.46
77,1029,SKU_064,1,196.56
78,1029,SKU_058,1,117.46
79,1029,SKU_148,2,207.08
80,1029,SKU_039,2,211.12
81,1030,SKU_044,2,142.67
82,1030,SKU_093,1,90.16
83,1030,SKU_030,3,27.6
84,1030,SKU_016,2,498.9
85,1030,SKU_071,3,195.86
86,1031,SKU_192,2,344.96
87,1031,SKU_026,2,257.98
88,1032,SKU_130,3,171.99
89,1032,SKU_137,1,331.8
90,1033,SKU_176,2,399.62
91,1034,SKU_085,3,259.34
92,1034,SKU_047,2,21.39
93,1034,SKU_007,1,314.51
94,1034,SKU_024,2,35.04
95,1034,SKU_072,1,74.12
96,1035,SKU_153,1,475.34
97,1036,SKU_018,1,251.45
98,1037,SKU_156,2,387.06
99,1037,SKU_181,2,493.62
100,1038,SKU_200,1,417.68
101,1038,SKU_005,3,155.03
102,1039,SKU_082,3,388.66
103,1039,SKU_184,2,433.48
104,1039,SKU_153,1,475.34
105,1039,SKU_122,1,18.85
106,1040,SKU_184,2,433.48
107,1040,SKU_115,3,252.87
108,1041,SKU_056,2,390.58
109,1041,SKU_044,1,142.67
110,1041,SKU_050,3,285.53
111,1042,SKU_050,1,285.53
112,1042,SKU_076,2,387.71
113,1043,SKU_016,3,498.9
114,1043,SKU_041,2,498.42
115,1043,SKU_051,1,115.02
116,1043,SKU_131,1,345.3
117,1044,SKU_176,2,399.62
118,1045,SKU_103,1,157.13
119,1045,SKU_039,2,211.12
120,1045,SKU_123,2,88.65
121,1046,SKU_040,1,173.47
122,1046,SKU_049,2,459.52
123,1047,SKU_190,3,224.03
124,1048,SKU_151,1,376.22
125,1048,SKU_110,2,119.89
126,1049,SKU_089,2,217.13
127,1049,SKU_121,1,361.17
128,1049,SKU_130,2,171.99
129,1049,SKU_143,3,125.66
130,1050,SKU_049,1,459.52
131,1051,SKU_098,3,210.7
132,1052,SKU_026,2,257.98
133,1053,SKU_016,2,498.9
134,1053,SKU_172,1,108.05
135,1054,SKU_177,3,397.77
136,1054,SKU_079,2,463.49
137,1054,SKU_059,2,30.76
138,1054,SKU_044,1,142.67
139,1055,SKU_079,3,463.49
140,1055,SKU_184,3,433.48
141,1055,SKU_189,3,30.6
142,1055,SKU_149,3,158.59
143,1055,SKU_051,3,115.02
