order_id,channel_id,order_date,status,updated_at
1000,1,2025-09-01,completed,2025-09-01 17:29:14
1001,1,2025-09-01,completed,2025-09-01 05:29:53
1002,1,2025-09-01,returned,2025-09-01 02:50:13
1003,1,2025-09-01,completed,2025-09-01 11:48:32
1004,1,2025-09-01,completed,2025-09-01 06:07:58
1005,1,2025-09-01,completed,2025-09-01 21:19:35
1006,1,2025-09-01,completed,2025-09-01 09:47:10
1007,1,2025-09-01,completed,2025-09-01 01:33:26
1008,1,2025-09-01,completed,2025-09-01 07:40:11
1009,1,2025-09-01,completed,2025-09-01 04:00:44
1010,1,2025-09-01,processing,2025-09-01 07:18:37
1011,1,2025-09-01,completed,2025-09-01 20:11:44
1012,1,2025-09-01,completed,2025-09-01 07:15:10
1013,1,2025-09-01,processing,2025-09-01 22:00:24
1014,1,2025-09-01,completed,2025-09-01 17:18:48
1015,1,2025-09-01,completed,2025-09-01 06:14:45
1016,1,2025-09-01,returned,2025-09-01 05:32:28
1017,1,2025-09-01,processing,2025-09-01 22:44:57
1018,1,2025-09-01,completed,2025-09-01 16:00:28
1019,1,2025-09-01,completed,2025-09-01 01:24:00
1020,1,2025-09-01,completed,2025-09-01 10:37:23
1021,1,2025-09-01,completed,2025-09-01 06:17:35
1022,1,2025-09-01,completed,2025-09-01 06:40:53
1023,1,2025-09-01,returned,2025-09-01 07:39:36
1024,1,2025-09-01,completed,2025-09-01 08:19:53
1025,1,2025-09-01,completed,2025-09-01 11:46:51
1026,1,2025-09-01,completed,2025-09-01 10:18:46
1027,1,2025-09-01,completed,2025-09-01 09:30:08
1028,1,2025-09-01,completed,2025-09-01 20:20:20
1029,1,2025-09-01,completed,2025-09-01 17:46:49
1030,1,2025-09-01,completed,2025-09-01 16:19:18
1031,1,2025-09-01,completed,2025-09-01 18:39:40
1032,1,2025-09-01,returned,2025-09-01 15:20:59
1033,1,2025-09-01,completed,2025-09-01 03:46:42
1034,1,2025-09-01,completed,2025-09-01 05:40:01
1035,1,2025-09-01,completed,2025-09-01 00:00:18
1036,1,2025-09-01,completed,2025-09-01 01:59:23
1037,1,2025-09-01,completed,2025-09-01 14:30:17
1038,1,2025-09-01,processing,2025-09-01 16:15:49
1039,1,2025-09-01,completed,2025-09-01 01:06:29
1040,1,2025-09-01,completed,2025-09-01 07:11:35
1041,1,2025-09-01,cancelled,2025-09-01 22:53:55
1042,1,2025-09-01,completed,2025-09-01 21:50:14
1043,1,2025-09-01,returned,2025-09-01 13:52:23
1044,1,2025-09-01,cancelled,2025-09-01 21:31:09
1045,1,2025-09-01,processing,2025-09-01 05:36:26
1046,1,2025-09-01,completed,2025-09-01 13:29:07
1047,1,2025-09-01,completed,2025-09-01 18:01:31
1048,1,2025-09-01,cancelled,2025-09-01 15:46:35
1049,1,2025-09-01,completed,2025-09-01 17:44:03
1050,1,2025-09-01,completed,2025-09-01 21:18:36
1051,1,2025-09-01,cancelled,2025-09-01 04:28:47
1052,1,2025-09-01,returned,2025-09-01 15:47:35
1053,1,2025-09-01,cancelled,2025-09-01 11:14:44
1054,1,2025-09-01,cancelled,2025-09-01 21:42:01
1055,1,2025-09-01,completed,2025-09-01 21:36:27
1056,1,2025-09-01,completed,2025-09-01 21:25:55
1057,1,2025-09-01,completed,2025-09-01 13:54:16
1058,1,2025-09-01,cancelled,2025-09-01 00:44:31
1059,1,2025-09-01,returned,2025-09-01 19:06:46
1060,1,2025-09-01,processing,2025-09-01 17:49:19
1061,1,2025-09-01,completed,2025-09-01 01:30:19
1062,1,2025-09-01,completed,2025-09-01 23:36:39
1063,1,2025-09-01,completed,2025-09-01 14:43:15
1064,1,2025-09-01,returned,2025-09-01 22:25:04
1065,1,2025-09-01,cancelled,2025-09-01 04:04:45
1066,1,2025-09-01,completed,2025-09-01 07:17:12
1067,1,2025-09-01,completed,2025-09-01 23:50:40
1068,1,2025-09-01,completed,2025-09-01 03:35:49
1069,1,2025-09-01,completed,2025-09-01 06:27:47
1070,1,2025-09-01,completed,2025-09-01 08:30:57
1071,1,2025-09-01,completed,2025-09-01 21:33:10
1072,1,2025-09-01,returned,2025-09-01 14:21:36
1073,1,2025-09-01,completed,2025-09-01 13:33:44
1074,1,2025-09-01,cancelled,2025-09-01 03:01:40
1075,1,2025-09-01,completed,2025-09-01 05:34:27
1076,1,2025-09-01,completed,2025-09-01 09:20:57
1077,1,2025-09-01,completed,2025-09-01 16:18:42
1078,1,2025-09-01,completed,2025-09-01 04:56:50
1079,1,2025-09-01,processing,2025-09-01 09:53:39
1080,1,2025-09-01,completed,2025-09-01 18:32:12
1081,1,2025-09-01,completed,2025-09-01 09:56:06
1082,1,2025-09-01,completed,2025-09-01 20:53:43
1083,1,2025-09-01,returned,2025-09-01 03:03:03
1084,1,2025-09-01,completed,2025-09-01 11:11:13
1085,1,2025-09-01,completed,2025-09-01 04:20:29
1086,1,2025-09-01,completed,2025-09-01 01:48:27
1087,1,2025-09-01,completed,2025-09-01 17:48:52
1088,1,2025-09-01,completed,2025-09-01 19:25:07
1089,1,2025-09-01,returned,2025-09-01 05:41:42
1090,1,2025-09-01,completed,2025-09-01 20:54:55
1091,1,2025-09-01,completed,2025-09-01 00:02:07
1092,1,2025-09-01,completed,2025-09-01 05:21:48
1093,1,2025-09-01,completed,2025-09-01 01:40:26
1094,1,2025-09-01,completed,2025-09-01 06:24:22
1095,1,2025-09-01,completed,2025-09-01 12:10:13
1096,1,2025-09-01,completed,2025-09-01 17:25:38
1097,1,2025-09-01,completed,2025-09-01 10:41:53
1098,1,2025-09-01,completed,2025-09-01 07:19:11
1099,1,2025-09-01,completed,2025-09-01 18:38:56
1100,1,2025-09-01,completed,2025-09-01 01:54:11
1101,1,2025-09-01,completed,2025-09-01 02:14:46
1102,1,2025-09-01,cancelled,2025-09-01 23:17:30
1103,1,2025-09-01,cancelled,2025-09-01 09:00:03
1104,1,2025-09-01,completed,2025-09-01 23:14:37
1105,1,2025-09-01,cancelled,2025-09-01 00:59:16
1106,1,2025-09-01,processing,2025-09-01 23:39:58
1107,1,2025-09-01,returned,2025-09-01 05:36:23
1108,1,2025-09-01,completed,2025-09-01 13:05:22
1109,1,2025-09-01,completed,2025-09-01 13:13:26
1110,1,2025-09-01,processing,2025-09-01 00:57:22
1111,1,2025-09-01,completed,2025-09-01 12:04:50
1112,1,2025-09-01,completed,2025-09-01 21:01:51
1113,1,2025-09-01,completed,2025-09-01 23:35:03
1114,1,2025-09-01,completed,2025-09-01 19:37:04
1115,1,2025-09-01,completed,2025-09-01 06:06:29
1116,1,2025-09-01,completed,2025-09-01 04:23:04
1117,1,2025-09-01,completed,2025-09-01 12:57:06
1118,1,2025-09-01,completed,2025-09-01 15:10:56
1119,1,2025-09-01,returned,2025-09-01 19:07:48
1120,1,2025-09-01,completed,2025-09-01 01:16:47
1121,1,2025-09-01,processing,2025-09-01 09:13:57
1122,1,2025-09-01,completed,2025-09-01 18:36:24
1123,1,2025-09-01,cancelled,2025-09-01 21:16:56
1124,1,2025-09-01,completed,2025-09-01 00:33:47
1180,1,2025-09-02,completed,2025-09-02 23:22:21
1181,1,2025-09-02,completed,2025-09-02 19:05:36
1182,1,2025-09-02,completed,2025-09-02 21:39:55
1183,1,2025-09-02,completed,2025-09-02 01:34:30
1184,1,2025-09-02,completed,2025-09-02 19:51:21
1185,1,2025-09-02,completed,2025-09-02 14:24:22
1186,1,2025-09-02,completed,2025-09-02 12:46:22
1187,1,2025-09-02,completed,2025-09-02 04:16:43
1188,1,2025-09-02,completed,2025-09-02 00:55:54
1189,1,2025-09-02,completed,2025-09-02 04:10:29
1190,1,2025-09-02,completed,2025-09-02 06:04:56
1191,1,2025-09-02,completed,2025-09-02 00:42:26
1192,1,2025-09-02,completed,2025-09-02 06:38:31
1193,1,2025-09-02,completed,2025-09-02 10:38:10
1194,1,2025-09-02,completed,2025-09-02 21:26:51
1195,1,2025-09-02,processing,2025-09-02 11:51:15
1196,1,2025-09-02,completed,2025-09-02 08:33:49
1197,1,2025-09-02,completed,2025-09-02 03:07:25
1198,1,2025-09-02,completed,2025-09-02 21:33:27
1199,1,2025-09-02,cancelled,2025-09-02 01:24:20
1200,1,2025-09-02,returned,2025-09-02 18:20:38
1201,1,2025-09-02,completed,2025-09-02 13:57:19
1202,1,2025-09-02,completed,2025-09-02 14:21:16
1203,1,2025-09-02,completed,2025-09-02 19:23:44
1204,1,2025-09-02,completed,2025-09-02 21:02:22
1205,1,2025-09-02,returned,2025-09-02 19:19:36
1206,1,2025-09-02,completed,2025-09-02 15:03:26
1207,1,2025-09-02,completed,2025-09-02 01:46:42
1208,1,2025-09-02,completed,2025-09-02 05:26:08
1209,1,2025-09-02,processing,2025-09-02 02:11:02
1210,1,2025-09-02,completed,2025-09-02 16:51:09
1211,1,2025-09-02,returned,2025-09-02 08:11:12
1212,1,2025-09-02,completed,2025-09-02 05:55:31
1213,1,2025-09-02,cancelled,2025-09-02 21:34:42
1214,1,2025-09-02,completed,2025-09-02 03:07:38
1215,1,2025-09-02,cancelled,2025-09-02 04:59:55
1216,1,2025-09-02,completed,2025-09-02 19:21:53
1217,1,2025-09-02,processing,2025-09-02 20:10:40
1218,1,2025-09-02,completed,2025-09-02 05:32:35
1219,1,2025-09-02,returned,2025-09-02 22:25:13
1220,1,2025-09-02,cancelled,2025-09-02 01:54:55
1221,1,2025-09-02,completed,2025-09-02 23:04:12
1222,1,2025-09-02,completed,2025-09-02 04:13:59
